"grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","game_date","htm","vtm","shot_made_numeric","shot_value","fga","fgm","fg_pct"
"Shot Chart Detail","0022001019","7","1629628","RJ Barrett","1610612752","New York Knicks","1","11","46","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",18,-6.3,22.35,1,"missed",2021-05-09,"LAC","NYK",0,2,29,13,0.448
"Shot Chart Detail","0022001019","11","203493","Reggie Bullock","1610612752","New York Knicks","1","11","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",27,-5.7,31.95,1,"missed",2021-05-09,"LAC","NYK",0,3,80,28,0.35
"Shot Chart Detail","0022001019","13","203901","Elfrid Payton","1610612752","New York Knicks","1","11","3","Missed Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,5.6,9.85,1,"missed",2021-05-09,"LAC","NYK",0,2,128,57,0.445
"Shot Chart Detail","0022001019","22","203493","Reggie Bullock","1610612752","New York Knicks","1","10","3","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",23,-23,6.15,1,"missed",2021-05-09,"LAC","NYK",0,3,81,32,0.395
"Shot Chart Detail","0022001019","26","203457","Nerlens Noel","1610612752","New York Knicks","1","9","45","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.5,6.05,1,"missed",2021-05-09,"LAC","NYK",0,2,453,279,0.616
"Shot Chart Detail","0022001019","31","203493","Reggie Bullock","1610612752","New York Knicks","1","9","23","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,0.2,12.05,1,"missed",2021-05-09,"LAC","NYK",0,2,128,57,0.445
"Shot Chart Detail","0022001019","36","203944","Julius Randle","1610612752","New York Knicks","1","8","47","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",18,-7.5,21.85,1,"missed",2021-05-09,"LAC","NYK",0,2,29,13,0.448
"Shot Chart Detail","0022001019","40","203493","Reggie Bullock","1610612752","New York Knicks","1","8","27","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,13.1,26.85,1,"made",2021-05-09,"LAC","NYK",1,3,152,57,0.375
"Shot Chart Detail","0022001019","44","203944","Julius Randle","1610612752","New York Knicks","1","7","52","Missed Shot","Driving Bank Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-3.1,6.15,1,"missed",2021-05-09,"LAC","NYK",0,2,453,279,0.616
"Shot Chart Detail","0022001019","50","203493","Reggie Bullock","1610612752","New York Knicks","1","7","20","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",22,-22.7,4.05,1,"made",2021-05-09,"LAC","NYK",1,3,81,32,0.395
"Shot Chart Detail","0022001019","56","203493","Reggie Bullock","1610612752","New York Knicks","1","6","33","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-16,25.65,1,"missed",2021-05-09,"LAC","NYK",0,3,168,57,0.339
