"grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","game_date","htm","vtm","shot_made_numeric","shot_value","fga","fgm","fg_pct"
"Shot Chart Detail","0022100005","7","203944","Julius Randle","1610612752","New York Knicks","1","11","37","Made Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,15.7,24.55,1,"made",2021-10-20,"NYK","BOS",1,3,6961,2407,0.346
"Shot Chart Detail","0022100005","10","202689","Kemba Walker","1610612752","New York Knicks","1","11","13","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.2,5.55,1,"missed",2021-10-20,"NYK","BOS",0,2,18456,11794,0.639
"Shot Chart Detail","0022100005","12","1629011","Mitchell Robinson","1610612752","New York Knicks","1","11","11","Made Shot","Tip Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,5.25,1,"made",2021-10-20,"NYK","BOS",1,2,18456,11794,0.639
"Shot Chart Detail","0022100005","19","203095","Evan Fournier","1610612752","New York Knicks","1","10","26","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,2.6,7.15,1,"missed",2021-10-20,"NYK","BOS",0,2,18456,11794,0.639
"Shot Chart Detail","0022100005","24","203944","Julius Randle","1610612752","New York Knicks","1","10","8","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,11.3,29.75,1,"made",2021-10-20,"NYK","BOS",1,3,6961,2407,0.346
"Shot Chart Detail","0022100005","33","203944","Julius Randle","1610612752","New York Knicks","1","9","18","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",23,-23.3,2.35,1,"missed",2021-10-20,"NYK","BOS",0,3,3306,1216,0.368
"Shot Chart Detail","0022100005","38","203944","Julius Randle","1610612752","New York Knicks","1","8","49","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",9,-2.1,14.65,1,"missed",2021-10-20,"NYK","BOS",0,2,3564,1569,0.44
"Shot Chart Detail","0022100005","40","202689","Kemba Walker","1610612752","New York Knicks","1","8","46","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,3.8,29.85,1,"made",2021-10-20,"NYK","BOS",1,3,5018,1713,0.341
"Shot Chart Detail","0022100005","44","203095","Evan Fournier","1610612752","New York Knicks","1","8","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",22,-2.9,28.05,1,"missed",2021-10-20,"NYK","BOS",0,2,1244,532,0.428
"Shot Chart Detail","0022100005","50","203095","Evan Fournier","1610612752","New York Knicks","1","7","51","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-0.2,6.75,1,"made",2021-10-20,"NYK","BOS",1,2,18456,11794,0.639
