"","game_id","team1_id","team1_name","htm","vtm","game_date","team2_id","team2_name"
"1","0022100013","1610612757","Portland Trail Blazers","POR","SAC",2021-10-20,"1610612758","Sacramento Kings"
"2","0022100033","1610612757","Portland Trail Blazers","POR","PHX",2021-10-23,"1610612756","Phoenix Suns"
"3","0022100049","1610612757","Portland Trail Blazers","LAC","POR",2021-10-25,"1610612746","LA Clippers"
"4","0022100063","1610612757","Portland Trail Blazers","POR","MEM",2021-10-27,"1610612763","Memphis Grizzlies"
"5","0022100076","1610612757","Portland Trail Blazers","POR","LAC",2021-10-29,"1610612746","LA Clippers"
"6","0022100090","1610612757","Portland Trail Blazers","CHA","POR",2021-10-31,"1610612766","Charlotte Hornets"
"7","0022100096","1610612757","Portland Trail Blazers","PHI","POR",2021-11-01,"1610612755","Philadelphia 76ers"
"8","0022100108","1610612757","Portland Trail Blazers","CLE","POR",2021-11-03,"1610612739","Cleveland Cavaliers"
"9","0022100131","1610612757","Portland Trail Blazers","POR","IND",2021-11-05,"1610612754","Indiana Pacers"
"10","0022100138","1610612757","Portland Trail Blazers","POR","LAL",2021-11-06,"1610612747","Los Angeles Lakers"
"11","0022100157","1610612757","Portland Trail Blazers","LAC","POR",2021-11-09,"1610612746","LA Clippers"
"12","0022100168","1610612757","Portland Trail Blazers","PHX","POR",2021-11-10,"1610612756","Phoenix Suns"
"13","0022100177","1610612757","Portland Trail Blazers","HOU","POR",2021-11-12,"1610612745","Houston Rockets"
"14","0022100197","1610612757","Portland Trail Blazers","DEN","POR",2021-11-14,"1610612743","Denver Nuggets"
"15","0022100208","1610612757","Portland Trail Blazers","POR","TOR",2021-11-15,"1610612761","Toronto Raptors"
"16","0022100223","1610612757","Portland Trail Blazers","POR","CHI",2021-11-17,"1610612741","Chicago Bulls"
"17","0022100246","1610612757","Portland Trail Blazers","POR","PHI",2021-11-20,"1610612755","Philadelphia 76ers"
"18","0022100265","1610612757","Portland Trail Blazers","POR","DEN",2021-11-23,"1610612743","Denver Nuggets"
"19","0022100279","1610612757","Portland Trail Blazers","SAC","POR",2021-11-24,"1610612758","Sacramento Kings"
"20","0022100290","1610612757","Portland Trail Blazers","GSW","POR",2021-11-26,"1610612744","Golden State Warriors"
"21","0022100312","1610612757","Portland Trail Blazers","UTA","POR",2021-11-29,"1610612762","Utah Jazz"
"22","0022100317","1610612757","Portland Trail Blazers","POR","DET",2021-11-30,"1610612765","Detroit Pistons"
"23","0022100332","1610612757","Portland Trail Blazers","POR","SAS",2021-12-02,"1610612759","San Antonio Spurs"
"24","0022100347","1610612757","Portland Trail Blazers","POR","BOS",2021-12-04,"1610612738","Boston Celtics"
"25","0022100362","1610612757","Portland Trail Blazers","POR","LAC",2021-12-06,"1610612746","LA Clippers"
"26","0022100011","1610612760","Oklahoma City Thunder","UTA","OKC",2021-10-20,"1610612762","Utah Jazz"
"27","0022100023","1610612760","Oklahoma City Thunder","HOU","OKC",2021-10-22,"1610612745","Houston Rockets"
"28","0022100038","1610612760","Oklahoma City Thunder","OKC","PHI",2021-10-24,"1610612755","Philadelphia 76ers"
"29","0022100051","1610612760","Oklahoma City Thunder","OKC","GSW",2021-10-26,"1610612744","Golden State Warriors"
"30","0022100061","1610612760","Oklahoma City Thunder","OKC","LAL",2021-10-27,"1610612747","Los Angeles Lakers"
"31","0022100086","1610612760","Oklahoma City Thunder","GSW","OKC",2021-10-30,"1610612744","Golden State Warriors"
"32","0022100102","1610612760","Oklahoma City Thunder","LAC","OKC",2021-11-01,"1610612746","LA Clippers"
"33","0022100123","1610612760","Oklahoma City Thunder","LAL","OKC",2021-11-04,"1610612747","Los Angeles Lakers"
"34","0022100144","1610612760","Oklahoma City Thunder","OKC","SAS",2021-11-07,"1610612759","San Antonio Spurs"
"35","0022100165","1610612760","Oklahoma City Thunder","NOP","OKC",2021-11-10,"1610612740","New Orleans Pelicans"
"36","0022100180","1610612760","Oklahoma City Thunder","OKC","SAC",2021-11-12,"1610612758","Sacramento Kings"
"37","0022100196","1610612760","Oklahoma City Thunder","OKC","BKN",2021-11-14,"1610612751","Brooklyn Nets"
"38","0022100207","1610612760","Oklahoma City Thunder","OKC","MIA",2021-11-15,"1610612748","Miami Heat"
"39","0022100221","1610612760","Oklahoma City Thunder","OKC","HOU",2021-11-17,"1610612745","Houston Rockets"
"40","0022100234","1610612760","Oklahoma City Thunder","MIL","OKC",2021-11-19,"1610612749","Milwaukee Bucks"
"41","0022100243","1610612760","Oklahoma City Thunder","BOS","OKC",2021-11-20,"1610612738","Boston Celtics"
"42","0022100255","1610612760","Oklahoma City Thunder","ATL","OKC",2021-11-22,"1610612737","Atlanta Hawks"
"43","0022100276","1610612760","Oklahoma City Thunder","OKC","UTA",2021-11-24,"1610612762","Utah Jazz"
"44","0022100286","1610612760","Oklahoma City Thunder","OKC","WAS",2021-11-26,"1610612764","Washington Wizards"
"45","0022100308","1610612760","Oklahoma City Thunder","HOU","OKC",2021-11-29,"1610612745","Houston Rockets"
"46","0022100326","1610612760","Oklahoma City Thunder","OKC","HOU",2021-12-01,"1610612745","Houston Rockets"
"47","0022100330","1610612760","Oklahoma City Thunder","MEM","OKC",2021-12-02,"1610612763","Memphis Grizzlies"
